round,round_key,region,game_id,team,seed,raw_prob,normalized_prob
4,F4,East/West,SF1,LIU Brooklyn,16,0.00110000,0.00087986
4,F4,East/West,SF1,Villanova,8,0.00400000,0.00319949
4,F4,East/West,SF1,Utah State,9,0.00120000,0.00095985
4,F4,East/West,SF1,Wisconsin,5,0.01520000,0.01215805
4,F4,East/West,SF1,High Point,12,0.00100000,0.00079987
4,F4,East/West,SF1,Arkansas,4,0.02950000,0.02359622
4,F4,East/West,SF1,Hawaii,13,0.00130000,0.00103983
4,F4,East/West,SF1,BYU,6,0.00790000,0.00631899
4,F4,East/West,SF1,NC State,11,0.00100000,0.00079987
4,F4,East/West,SF1,Gonzaga,3,0.04900000,0.03919373
4,F4,East/West,SF1,Kennesaw,14,0.00070000,0.00055991
4,F4,East/West,SF1,Miami,7,0.00480000,0.00383939
4,F4,East/West,SF1,Missouri,10,0.00130000,0.00103983
4,F4,East/West,SF1,Purdue,2,0.07470000,0.05975044
4,F4,East/West,SF1,Queens NC,15,0.00080000,0.00063990
4,F4,South/Midwest,SF2,Florida,1,0.13680000,0.18350101
4,F4,South/Midwest,SF2,Lehigh,16,0.00080000,0.00107311
4,F4,South/Midwest,SF2,Clemson,8,0.00190000,0.00254863
4,F4,South/Midwest,SF2,Iowa,9,0.00180000,0.00241449
4,F4,South/Midwest,SF2,Vanderbilt,5,0.00730000,0.00979209
4,F4,South/Midwest,SF2,McNeese,12,0.00100000,0.00134138
4,F4,South/Midwest,SF2,Nebraska,4,0.00620000,0.00831657
4,F4,South/Midwest,SF2,Troy,13,0.00070000,0.00093897
4,F4,South/Midwest,SF2,North Carolina,6,0.01040000,0.01395037
4,F4,South/Midwest,SF2,VCU,11,0.00090000,0.00120724
4,F4,South/Midwest,SF2,Illinois,3,0.03050000,0.04091214
4,F4,South/Midwest,SF2,Penn,14,0.00310000,0.00415828
4,F4,South/Midwest,SF2,Saint Mary's,7,0.00160000,0.00214621
4,F4,South/Midwest,SF2,Texas A&M,10,0.00210000,0.00281690
4,F4,South/Midwest,SF2,Houston,2,0.12620000,0.16928236
4,F4,South/Midwest,SF2,Idaho,15,0.00070000,0.00093897
4,F4,South/Midwest,SF2,Michigan,1,0.28460000,0.38175721
4,F4,South/Midwest,SF2,Howard,16,0.00090000,0.00120724
4,F4,South/Midwest,SF2,Georgia,8,0.00240000,0.00321932
4,F4,South/Midwest,SF2,St Louis,9,0.00160000,0.00214621
4,F4,South/Midwest,SF2,Texas Tech,5,0.00590000,0.00791415
4,F4,South/Midwest,SF2,Akron,12,0.00100000,0.00134138
4,F4,South/Midwest,SF2,Alabama,4,0.01520000,0.02038900
4,F4,South/Midwest,SF2,Hofstra,13,0.00090000,0.00120724
4,F4,South/Midwest,SF2,Tennessee,6,0.00610000,0.00818243
4,F4,South/Midwest,SF2,SMU,11,0.00110000,0.00147552
4,F4,South/Midwest,SF2,Virginia,3,0.02390000,0.03205902
4,F4,South/Midwest,SF2,Wright State,14,0.00070000,0.00093897
4,F4,South/Midwest,SF2,Kentucky,7,0.01620000,0.02173038
4,F4,South/Midwest,SF2,Santa Clara,10,0.00100000,0.00134138
4,F4,South/Midwest,SF2,Iowa State,2,0.05120000,0.06867874
4,F4,South/Midwest,SF2,Tennessee State,15,0.00080000,0.00107311
